nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT00337454,Study of BMS-354825 in Subjects With CML Who Are Resistant to or Intolerant of Imatinib or Ph+All in Japan,PHASE1,Chronic Myelogenous Leukemia,is to evaluate the safety of BMS-354825 in subject with chronic phase Chronic Myelogenous Leukemia (CML),the safety of BMS-354825 in subject with chronic phase Chronic Myelogenous Leukemia (CML),BMS-354825
NCT05545254,Health-promoting Lifestyle in a Genetic Counseling Clinic,,Breast Cancer,"ed to describe the health-promoting lifestyle of breast cancer patients and family members in a Chinese genetic counseling clinic, and to explore its various levels with different socio-economic variables",,
NCT06303505,"FiH Study to Investigate Safety, PK and Efficacy of the NaPi2b ADC TUB-040 in Patients With PROC or r/r Adenocarcinoma NSCLC",PHASE1,Ovarian Cancer,"the safety/tolerability, pharmacokinetics and preliminary efficacy of TUB-040 and to find the best dose of TUB-040 in patients with ovarian cancer and Non Small Cell Lung Cancer",which dose is optimal for patients,TUB-040 and to find the best dose of TUB-040 in patients with ovarian cancer and Non Small Cell Lung Cancer
NCT01245205,Akt Inhibitor MK2206 in Combination With Lapatinib Ditosylate in Patients With Advanced or Metastatic Solid Tumors or Breast Cancer,PHASE1,HER2-positive Breast Cancer,,,
NCT02407405,MEK 1/2 Inhibitor Selumetinib (AZD6244 Hydrogen Sulfate) in Adults With Neurofibromatosis Type 1 (NF1) and Inoperable Plexiform Neurofibromas,PHASE2,Neurofibromatosis 1 (NF1),To test if selumetinib helps treat PNs,,
NCT04702854,Evaluation of Ultrasound Biomicroscopy in the Local Staging of Cutaneous Melanoma,NA,Cutaneous Melanoma,"of the study is to analyze the interest of ultrasound biomicroscopy in the pre-therapeutic evaluation of the Breslow index of cutaneous melanoma, compared to histological findings",the Breslow Index,
NCT06404905,Clinical Trial of BT02 in Patients With Advanced Solid Tumors,PHASE1,Advanced Solid Tumor,"the Safety, Tolerability, Pharmacokinetics, Immunogenicity and Preliminary Antitumor Activity of BT02 in Patients with Advanced Solid Tumors",,
NCT01882205,"Comparison Between Chromoendoscopy and Virtual Chromoendoscopy (NBI, I-scan, FICE) for Detection of Neoplasia in Long Standing Ulcerative Colitis",NA,Ulcerative Colitis,,,
NCT02744105,Effect of Spirulina on Liver Fibrosis by Transient Elastography in Beta Thalassemic Children With Hepatitis C,NA,Beta Thalassemia Major,,,
NCT03336905,Implementation of a Program Based on Adapted Physical Activity and Recommendations for Second Cancers Prevention for TYACs,NA,Neoplasms,to implement a clinical program based on adapted physical activity (APA) and cancer prevention recommendations for TYAC during the active treatment period (4-6 months),,
NCT03810105,A Study of Olaparib and Durvalumab in Prostate Cancer,PHASE2,Prostate Cancer,if the combination of olaparib and durvalumab are better than the standard of care for treating prostate cancer,,
NCT03444805,EBMT ADWP Prospective Non-interventional Study: Post-AHSCT Management in SSC Patients (NISSC-2),,Autoimmune Diseases,of the study is to assess the effectiveness of various post-transplant treatment management approaches on clinical and immune biological responses after Autologous Hematopoietic Stem Cell transplantation (AHSCT) for Systemic Sclerosis (SSc) as currently performed by the different treatment protocols used in routine clinical practice across Europe in various EBMT centres,the effectiveness of various post-transplant treatment management approaches on clinical and immune biological responses after Autologous Hematopoietic Stem Cell transplantation (AHSCT) for Systemic Sclerosis (SSc) as currently performed by the different treatment protocols used in routine clinical practice across Europe in various EBMT centres,
NCT05550766,Prognostic Value of RXR-α in Cutaneous Squamous and Basal Cell Carcinoma,,Non-melanoma Skin Cancer,prognosis of SCC \& BCC by using RXR-α biomarker \& attempts to use it in the treatment,,
NCT03264456,Pretreatment Staging of High-Risk Prostate Cancer With 18F-Fluciclovine PET/MRI,PHASE1,Prostate Cancer,,,
NCT00264056,Efficacy of Chemotherapy Combined With Regional Hypothermia in Advanced Malignant Melanoma Patients With Progressive Soft Tissue Metastases,NA,Advanced Metastastic Malignant Melanoma,,,
NCT01768156,Prognostic and Predictive Value of HE4 Biomarker in Metastatic Ovarian Cancer,NA,Metastatic Ovarian Cancer,the role that HE4 could play in the detection of recurrences during the follow-up of metastatic patients,,
NCT03611751,An Investigational Study to Evaluate Experimental Medication BMS-986165 Compared to Placebo and a Currently Available Treatment in Participants With Moderate-to-Severe Plaque Psoriasis,PHASE3,Psoriasis,,,
NCT03288051,"Effects of Intraoperative, Goal-directed Crystalloid vs. Colloid Fluid Resuscitation on Free Flaps",NA,Optimal Tissue Perfusion,"of this study is to observe the effects of continuous macrohaemodynamic monitoring based, goal-directed fluid therapy on microcirculation of forearm flaps during the perioperative period",,
NCT01588951,Consolidation Therapy for Acute Myeloid Leukemia Guided by Leukemia Stem Cell Behavior,PHASE2,Acute Myeloid Leukemia,"of the trial is to compare the two-year relapse-free survival (RFS) of patients with acute myeloid leukemia (AML), presumed to be at high risk for relapse due to the presence of leukemia stem cells (LSCs) in their bone marrow at first complete remission (CR1), who receive either standard cytarabine-based chemotherapy or allogeneic stem cell transplantation (SCT)",,
NCT06311851,Transarterial Chemoembolization (TACE) Plus Bevacizumab for Liver Metastases,PHASE1,Cancer,,,
NCT07169851,A Study to Evaluate LY3537021 for the Treatment of Nausea and Vomiting Caused by Chemotherapy in Adults With Cancer,PHASE2,Nausea,,,
NCT06125951,Effect of 10 mg Xanamem on Dementia Due to Alzheimer's Disease,PHASE2,Dementia Moderate,Xanamem in in mild or moderate dementia due to AD,,
NCT01081951,"Study to Compare the Efficacy and Safety of Olaparib When Given in Combination With Carboplatin and Paclitaxel, Compared With Carboplatin and Paclitaxel in Patients With Advanced Ovarian Cancer",PHASE2,Ovarian Cancer,olaparib in combination with paclitaxel and carboplatin (AUC4) when compared with carboplatin (AUC6) and paclitaxel alone in patients with advanced ovarian cancer,,
NCT07086651,A Study to Learn About Two Medicines (Apalutamide and Enzalutamide) in People With Metastatic Castration-sensitive Prostate Cancer (mCSPC),,Metastatic Castration Sensitive Prostate Cancer (mCSPC),,,
NCT01921751,High or Standard Intensity Radiation Therapy After Gemcitabine Hydrochloride and Nab-paclitaxel in Treating Patients With Pancreatic Cancer That Cannot Be Removed by Surgery,PHASE2,Pancreatic Adenocarcinoma,,,
NCT00399529,"Trastuzumab, Cyclophosphamide, and an Allogeneic GM-CSF-secreting Breast Tumor Vaccine for the Treatment of HER-2/Neu-Overexpressing Metastatic Breast Cancer",PHASE2,Breast Neoplasms,,,
NCT05832450,Predictive Model to Calculate the Risk of RBC Transfusion in Elective Brain Tumours Resections (TScoreBTR),,Brain Tumor Adult,,,
NCT03400150,BioProtect Balloon Implant™ Balloon System Pivotal Study BP-007,NA,Prostate Cancer,,,
NCT04815291,Streamlined Localization Using SCOUT® at Biopsy (STREAMLoc ),NA,Breast Cancer,,,
NCT00930891,Bevacizumab in Extensive Small Cell Lung Cancer,PHASE2,Small Cell Lung Cancer,,,
NCT04068974,Camrelizumab /Apatinib for Recurrent Platinum-resistant Ovarian Cancer,PHASE2,Recurrent Platinum-resistant Ovarian Cancer,,,
NCT01770418,A Phase I/II Study of Hypofractionated Proton Therapy for Stage II-III Non-Small Cell Lung Cancer,PHASE1,Lung Neoplasms,,,
NCT07017218,Immunonutrition Effects on Nutrition and Immunity in HNC During Radiotherapy,NA,Head and Neck Cancer,included:Radiotherapy-related adverse events (e,"to investigate the effects of immunonutrition on nutritional status, immune function, and quality of life (QoL) in head and neck cancer (HNC) patients undergoing radiotherapy",
NCT02272790,"Adavosertib Plus Chemotherapy in Platinum-Resistant Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",PHASE2,"Ovarian, Fallopian Tube, Peritoneal Cancer, P53 Mutation",,,
NCT03074318,Avelumab and Trabectedin in Treating Patients With Liposarcoma or Leiomyosarcoma That is Metastatic or Cannot Be Removed by Surgery,PHASE1,Metastatic Leiomyosarcoma,,,
NCT00927797,"Interventional Study on Pentostatin, Cyclophosphamide and Rituximab in Indolent B-Cell Non-Hodgkin-Lymphoma (B-NHL)",PHASE2,Immunocytoma/Morbus Waldenström,"the efficacy and safety of treatment with Pentostatin/Cyclophosphamide immuno-chemotherapy for patients with newly diagnosed or relapsed Immunocytoma/Morbus Waldenström, B-cell chronic lymphocytic leukemia (B-CLL) and other indolent CD20-positive B-NHL, an open, non-randomized, multi-center prospective phase II-study to evaluate the efficacy and safety of treatment with immuno-chemotherapy is conducted",,
NCT05259813,Phase I Study of JWCAR029 in Subjects With R/R CLL/SLL,PHASE1,"Leukemia, Lymphocytic, Chronic, B-Cell",the safety and efficacy of JWCAR029 in subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,JWCAR029 in subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,
NCT00962260,Expanded Access Trial of Plant Expressed Recombinant Glucocerebrosidase (prGCD) in Patients With Gaucher Disease,,Gaucher Disease,,,
NCT03941860,"Testing the Addition of Ixazomib/Placebo to Lenalidomide in Patients With Evidence of Residual Multiple Myeloma, OPTIMUM Trial",PHASE3,Multiple Myeloma,,,
NCT00003060,Chemotherapy Plus Bone Marrow Transplantation in Treating Patients With Metastatic Melanoma,PHASE1,Melanoma (Skin),,,
NCT06491082,Chemotherapy Induced Neuropathy in Cancer Patients,,Chemotherapy-induced Peripheral Neuropathy,"severity of chemotherapy induced Peripheral neuropathy (CIPN) in solid cancer (Head and Neck, Breast, Prostate) patients who planned for at least 4 cycle of chemotherapy in different nutrient status level and gene expression",,
NCT00262782,"Fludarabine or Observation in Treating Patients With Stage 0, Stage I, or Stage II Chronic Lymphocytic Leukemia",PHASE3,Chronic Lymphocytic Leukemia,,,
NCT02802124,Carbon Ion Radiotherapy for the Treatment of Chinese Hepatocellular Carcinoma,NA,Hepatocellular Carcinoma,of this research project is to assess the feasibility and safety of carbon-ion radiotherapy for the treatment of localized Chinese hepatocellular carcinoma,the feasibility and safety of carbon-ion radiotherapy for the treatment of localized Chinese hepatocellular carcinoma,
NCT03492424,Ablative Therapy in the Management of Prostate Cancer,,Prostate Cancer,,,
NCT05087459,Treatment of Avatrombopag for Thrombocytopenia in Patients Undergoing Selective Resection of Hepatocellular Carcinoma,,Thrombocytopenia,the efficacy and safety of avatripopa in the treatment of thrombocytopenia in patients with primary hepatocellular carcinoma undergoing elective hepatectomy and its effect on perioperative outcome,,
NCT06052059,A Study to Evaluate Efficacy and Safety of Tulisokibart (MK-7240) in Participants With Moderately to Severely Active Ulcerative Colitis (MK-7240-001),PHASE3,Ulcerative Colitis,the efficacy of tulisokibart in participants with moderately to severely active ulcerative colitis,tulisokibart in participants with moderately to severely active ulcerative colitis,
NCT06812780,"A Study to Investigate the Effect of Hepatic Impairment on the Pharmacokinetics, Safety, and Tolerability of AZD2389",PHASE1,Hepatic Impairment,,,
NCT02422680,Patient Satisfaction With Colonoscopy in a Danish Setting - What Are the Most Important Factors?,,Colorectal Cancer,is to investigate factors associated with patient satisfaction during a colonoscopy,,
NCT04263480,Efficacy and Safety of Carfilzomib in Combination With Ibrutinib vs Ibrutinib in Waldenström's Macroglobulinemia,PHASE2,Waldenstrom Macroglobulinemia,,,
NCT03824080,Evaluating the Efficacy and Safety of Bemcentinib in Patients With Myelodysplastic Syndromes,PHASE2,Acute Myeloid Leukemia,is to assess the efficacy of bemcentinib (BGB324) a highly selective inhibitor of the AXL receptor tyrosine kinase for the treatment of AML and MDS patients failing or being refractory to first line hypomethylating agent (HMA) treatment,the efficacy of bemcentinib (BGB324) a highly selective inhibitor of the AXL receptor tyrosine kinase for the treatment of AML and MDS patients failing or being refractory to first line hypomethylating agent (HMA) treatment,bemcentinib (BGB324) a highly selective inhibitor of the AXL receptor tyrosine kinase for the treatment of AML and MDS patients failing or being refractory to first line hypomethylating agent (HMA) treatment
NCT06959979,Novel Molecular Targets and Innovative Therapeutic Perspective in Medulloblastoma,EARLY_PHASE1,"Medulloblastoma, Childhood","to identify genetic markers of sensitivity to CDK4/6 inhibitors in MB, to improve therapies and overcome resistance",,
NCT06302179,Risk Factors of Venous Thromboembolism After Colorectal Cancer Surgery,,Colorectal Cancer,"was the occurrence of the venous thromboembolism event, including pulmonary embolism",of our study is to find frequency and identify risk factors for venous thromboembolism development in patients who underwent surgery for colorectal cancer,
NCT04974879,Osimertinib Combined With Bevacizumab in the Treatment Epidermal Growth Factor Receptor (EGFR) Exon 20 Insertions Metastatic Non-Small Cell Lung Cancer,PHASE2,"Carcinoma, Non-Small-Cell Lung",,,
NCT06559696,Internal Mammary Lymph Nodes Irradiation in High-risk Breast Cancer After Neoadjuvant Chemotherapy,PHASE3,Breast Cancer,of this study is to explore the impact of internal mammary nodal irradiation on disease-free survival in high-risk breast cancer patients (ypN+or supra/subclavicular lymph node positive) after neoadjuvant chemotherapy,,
NCT03199846,Treatment Patterns and Outcomes Study in Patients With Unresectable Stage III and Metastatic (Stage IV) Melanoma in the United States,,Melanoma,,,
NCT06647862,IMM01+Azacitidine VS Placebo +Azacitidine in Patients With Newly Diagnosed Chronic Myelomonocytic Leukemia (CMML1-2),PHASE3,Chronic Myelomonocytic Leukemia,are Complete remission rate and Overall survival,the efficacy of IMM01(timdarpacept) in combination with azacitidine versus placebo in combination with azacitidine in patients with newly diagnosed chronic leukemia monocytic (CMML1-2),IMM01(timdarpacept) in combination with azacitidine versus placebo in combination with azacitidine in patients with newly diagnosed chronic leukemia monocytic (CMML1-2)
NCT01742962,Prevalence of Neglected Side Effects to Radical Prostatectomy,,Prostate Cancer,,,
NCT01165788,Social Adaptation in Long Term Survivors of Blood and Marrow Transplantation,,Social Adaptation,,,
NCT05107388,Continuous Glucose Monitoring Profile Description Under Alpelisib treAtment in Patients With Advanced bREast Cancer,NA,Breast Cancer,,,
NCT04027088,Effect of Preoperative Immunonutrition in Upper Digestive Tract,NA,Immunonutrition,"is to compare the specific effect of the immunonutrients respect to an equivalent formula in caloric-protein value but without immunonutrients, in the surgical evolution of the cancer patient",,
NCT06926088,Impact of BMI on CDK4/6 Inhibitors Efficacy and Safety in Advanced Breast Cancer,,Advanced Breast Cancer,,,
NCT00732888,Effect of Calcium on Tasigna Pharmacokinetics (PK) in Healthy Volunteers,PHASE1,Healthy,,,
NCT01441388,A Study Of Crizotinib Plus VEGF Inhibitor Combinations In Patients With Advanced Solid Tumors.,PHASE1,"Carcinoma, Renal Cell",,,
NCT06282588,Treatment of High-Risk Prostate Cancer Guided by Novel Diagnostic Radio- and Molecular Tracers,PHASE2,Prostate Cancer, which is expected to be at 7-8 years from the time of randomization of the first subject,of the THUNDER study is to improve the outcome of high-risk PCa by improved risk stratification,
NCT02664103,Study of Capecitabine and Cyclophosphamide Administered as a Single Pill in Patients With Advanced Breast Cancer,PHASE2,Breast Cancer Metastatic,* To assess the safety for each cohort of patients on a fixed-dose combination pill of capecitabine and cyclophosphamide administered at flat dose and with metronomic schedule (defined as continuous daily treatment without interruption) in patients with metastatic breast cancer,the safety for each cohort of patients on a fixed-dose combination pill of capecitabine and cyclophosphamide administered at flat dose and with metronomic schedule (defined as continuous daily treatment without interruption) in patients with metastatic breast cancer,the compliance under treatment
NCT02253303,"Evaluation of the Extraction-site, - Midline Incision vs Off-midline Incision-",NA,Colon Cancer,the midline extraction incision in patients with colon cancer,,
NCT05303103,Using Mixed-methods Approach to Explore the Long-term Effects of COVID-19,,Covid19,"are to (1) integrate the state of science of Long COVID, (2) describe the changes of various symptoms and HRQOL(Health-related Quality of Life) after 3, 6, 9, and 12 months of COVID-19 diagnosis, (3) explore predicting factors of the existence and severity of Long COVID, and (4) explore how patient experienced COVID-19 symptoms",,
NCT04462861,A New Securement Method for External Tunneled Central Venous Access Devices (CVAD),NA,Central Venous Catheter Exit Site Infection,,,
NCT01124461,BIRN (Biomedical Informatics Research Network) Resources Facilitate the Personalization of Malignant Brain Tumor,,GLIOBLASTOMA MULTIFORME,,,
NCT03078361,"Latinos CARES (Colorectal Cancer Awareness, Research, Education and Screening)",NA,Colorectal Cancer,,,
NCT06781242,Genotype-phenotype Relationship Between Cryptogenic Cholestasis and Familial Intrahepatic Cholestasis,,Cholestatic Liver Disease,,,
NCT05452642,The Supporting Understanding of PCOS Education and Research (SUPER) Study,NA,Polycystic Ovary,,,
NCT03750942,PROphylactic Mesh to Prevent Incisional Hernias at the Former Stoma Site: the PROMISS-trial,NA,Incisional Hernia,To evaluate the incidence of incisional hernias after stoma reversal after preventive mesh placement compared to no mesh placement,the effect of preventive mesh placement on the quality of life and the effect on healthcare cost reduction by avoiding re-intervention,the incidence of incisional hernias after stoma reversal after preventive mesh placement compared to no mesh placement
NCT04813042,Determining the Effectiveness of Working Out Dads to Reduce Mental Health Difficulties in Fathers of Young Children,NA,Mental Health Issue,"to test the effectiveness and cost-effectiveness of WOD, a 6-week week group-based peer support intervention, in reducing fathers' mental health difficulties in early parenthood",,
NCT04070586,Adaptive CT Acquisition for Personalised Thoracic Imaging,,"Cancer, Lung",,,
NCT04560686,Bintrafusp Alfa Before Surgery for the Treatment of Untreated Resectable Non-small Cell Lung Cancer,PHASE2,Resectable Lung Non-Small Cell Carcinoma,,,
NCT01079286,Study of Nelfinavir and Temsirolimus in Patients With Advanced Cancers,PHASE1,Renal Cell Cancer,,,
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors,PHASE1,Advanced Solid Tumor,,,
NCT00631670,Stereotactic Body Radiation Therapy (SBRT) for Tumors Near the Spinal Cord,NA,Spinal Tumors,if Stereotactic Body Radiation Therapy (SBRT) is a good way to treat tumors near the spinal cord,,
NCT05538169,The Management of RT-induced Hyposalivation Using LLLT,NA,Head and Neck Cancer,the changes in the scores of the patient's oral health-related quality of life using validated measurements,the effectiveness of photobiomodulation laser application in the management of patients with radiotherapy-induced hyposalivation,
NCT01721941,TH-302 Plus Doxorubicin Delivered by Trans-Arterial Chemoembolization (TACE) in Patients With Hepatocellular Carcinoma,PHASE1,Hepatocellular Carcinoma,of this phase I dose escalation study is to determine the maximum tolerated dose of TH-302 when administered with doxorubicin via trans-arterial chemo-embolization (TACE) in patients with hepatocellular carcinoma (HCC) who are not transplant candidates and have unresectable disease,the maximum tolerated dose of TH-302 when administered with doxorubicin via trans-arterial chemo-embolization (TACE) in patients with hepatocellular carcinoma (HCC) who are not transplant candidates and have unresectable disease,
NCT02086318,A New Algorithm to Predict Ovarian Age,,Infertility,the reliability of a multimodal diagnostic evaluation of ovarian age in term of both reproductive prognosis and distance to menopause following the guidelines of the Standards for Reporting of Diagnostic Accuracy initiative (STARD),,
NCT03059797,Study of Anlotinib in Patients With Small Cell Lung Cancer (ALTER1202),PHASE2,Small Cell Lung Cancer,,,
NCT00246597,"A Phase III Clinical Trial of PROCRIT (Epoetin Alfa) Versus Placebo in Women Undergoing Adjuvant Chemotherapy for Stage I, II or III Breast Cancer",PHASE3,Anemia,whether it is possible to measure temporary difficulty with thinking and/or short-term memory in women who are receiving chemotherapy for early stage breast cancer and to determine whether or not treatment with PROCRITÂ® will help decrease any problems with thinking or short-term memory that chemotherapy may cause,,
NCT00837213,Comparative Efficacy and Safety of Benzoyl Peroxide Used in Combination With Clindamycin vs. Benzoyl Peroxide Used in Combination With Clindamycin and Doxycycline in the Treatment of Moderate Acne,PHASE4,Acne,,,
NCT04426760,Fibroids and Infertility - a Study of the Significance of Removal of Fibroids With Regard to Endometrial Receptivity,,"Leiomyoma, Uterine","to explore some of the molecular factors that reduce fertility for women with leiomyomas, taking into account leiomyoma location, size, number and vascularity",,
NCT05902260,The Effects of an Nutritional Intervention on PD-1 ICI in NSCLC,NA,Non-small Cell Lung Cancer,is to investigate the variability of clearance during a 12-weeks nutritional intervention period,,
NCT05672082,Contribution of [18F]DPA-714 PET for Grading and Exploration of the Inflammatory Microenvironment of Glioma.,NA,Glioma,,,
NCT02104882,INTRAGO-Intraoperative Radiotherapy for Glioblastoma - a Phase I/II Study,PHASE1,Glioblastoma Multiforme,"to find out which dose of a single shot of radiation, delivered intraoperatively direct after surgery, is tolerable for patients with GBM",,
NCT05314582,Anticoagulant/Antiaggregant Use and Postoperative Bleeding Risk in Patients With Bladder Tumor and Benign Prostatic Hyperplasia,,Hematuria,,,
NCT05990582,The Alkmaar MLPTI Cohort Study: Outcomes at 9 Years,NA,Preterm Birth,"to determine the relation between growth and body composition in the first two years of life and the waist circumference, growth parameters and blood pressure at the age of 9 years","the relation between growth and body composition in the first two years of life and the waist circumference, growth parameters and blood pressure at the age of 9 years",
NCT00327223,Safety Study of Imexon Treatment of Patients With Metastatic or Disseminated Malignancy,PHASE1,Neoplasm Metastasis,"of the study is to determine the maximally tolerated dose, the pharmacokinetics, and the toxicity of the drug on the designated schedule","the maximally tolerated dose, the pharmacokinetics, and the toxicity of the drug on the designated schedule",
NCT01027923,IV Plerixafor With Mitoxantrone Etoposide and Cytarabine for Acute Myeloid Leukemia (AML),PHASE1,"Leukemia, Myeloid, Acute",,,
NCT06984523,Study of Craniospinal Irradiation With Linac Based Volumetric Modulated Arc Therapy (VMAT) for Patients With Leptomeningeal Metastasis,NA,Leptomeningeal Metastasis,is to determine if linac based VMAT CSI for leptomeningeal metastasis improves central nervous system (CNS) progression free survival (PFS) compared to the historical standard control CNS PFS in patients treated with Involved Field Radiation Therapy (IFRT),if linac based VMAT CSI for leptomeningeal metastasis improves central nervous system (CNS) progression free survival (PFS) compared to the historical standard control CNS PFS in patients treated with Involved Field Radiation Therapy (IFRT),linac based Volumetric Modulated Arc Therapy (VMAT) for craniospinal irradiation (CSI) in solid tumor cancer patients with leptomeningeal metastasis
NCT02271659,Medical and Economic Evaluation for Intermediate-risk Prostate Cancer,NA,Prostate Cancer,of the present phase III study is two-folded: 1) to show a superiority of external beam radiotherapy combined with a brachytherapy boost versus exclusive external beam radiotherapy and 2) to evaluate the economic impact of each treatment,the economic impact of each treatment,
NCT01268059,"A Study of Carboplatin and Paclitaxel With or Without MEDI-575 in Untreated, Advanced Non-Small Cell Lung Cancer",PHASE1,Non-small Cell Lung Cancer,"the dose, antitumor activity, safety and pharmacology of MEDI-575 in combination with carboplatin/paclitaxel in subjects with previously untreated, advanced non-small cell lung cancer (NSCLC)",,
NCT00858780,Study Comparing The Effect On Disease Activity When Reducing Or Discontinuing Etanercept In Subjects With RA,PHASE4,Rheumatoid Arthritis,,,
NCT00144079,Multicenter Study Differentiated Thyroid Carcinoma,PHASE3,Thyroid Neoplasms,,,
NCT01142479,Compound Herbal Formula (TPE-1) for Leukopenia and Cancer-related Fatigue in Breast Cancer Patients With Radiotherapy,PHASE2,Breast Cancer,whether TPE-1 have the effects for leukopenia and cancer-related fatigue in breast cancer patients with radiotherapy,,
NCT03511079,Music as a Perioperative Therapy in Breast Cancer Patients,NA,Breast Cancer,,,
NCT03842696,"Vorinostat for Graft vs Host Disease Prevention in Children, Adolescents and Young Adults Undergoing Allogeneic Blood and Marrow Transplantation",PHASE1,Hematologic Diseases,"the recommended phase 2 dose of the drug Vorinostat in children, adolescents and young adults following allogeneic blood or marrow transplant (BMT) and determine whether the addition of Vorinostat to the standard graft versus host disease (GVHD) prophylaxis will reduce the incidence of GVHD",,
NCT00924196,Natural History Study of Patients With Neurofibromatosis Type I,,Neurofibromatosis Type 1,To evaluate people with NF1 over 10 years in order to better understand the natural history of the disease,people with NF1 over 10 years in order to better understand the natural history of the disease,
NCT04967196,Ipilimumab and Nivolumab for the Treatment of Stage III-IV Unresectable Metastatic Melanoma,PHASE1,Clinical Stage III Cutaneous Melanoma AJCC v8,,,
NCT04160962,A Real World Study of Laparoscopic Preservation of the Pylorus Gastrectomy,,Gastric Cancer,"the difference of long-term quality of life, gastric emptying rate, incidence of basic reflux gastritis, bile contraction function, immune index, nutritional index and disease-free survival and overall survival between the two groups",,
NCT06935162,Teclistamab in Previously Treated AL Amyloidosis,PHASE2,AL Amyloidosis,the efficacy and safety of teclistamab,,
NCT02948062,Early Diagnosis Of Childhood Cerebral ALD,,Adrenoleukodystrophy,"boys with adrenoleukodystrophy (ALD) diagnosed early in life, and to prospectively monitor them to determine parameters that will facilitate earlier detection of the childhood cerebral form of the disease",parameters that will facilitate earlier detection of the childhood cerebral form of the disease,
NCT00166088,Effect of a Mediterranean Diet and Omega-3 Fatty Acids on Oxidative Stress and Endothelial Progenitor Cells (EPC's),PHASE2,Obesity,if it is easier to follow a Mediterranean diet or take supplements for patients who are currently ingesting a typical American diet,,
NCT01655888,The Anti-CTLA-4 Monoclonal Antibody Tremelimumab in Malignant Mesothelioma,PHASE2,Malignant Mesothelioma,to explore the efficacy of a more intensive schedule of treatment with tremelimumab in 29 MM patients,a more intensive schedule of treatment with tremelimumab in 29 MM patients,
NCT00159003,Analysis of Genetic Factors Related to Predisposition and Prognosis of Hematological Malignancies in Israel,,Acute Myeloid Leukemia,,,
NCT00001703,Vaccine Therapy With Tumor Specific Mutated VHL Peptides in Adult Cancer Patients With Renal Cell Carcinoma,PHASE2,Renal Cell Carcinoma,,,
NCT00746161,Evaluation of Double Tract Reconstruction After Total Gastrectomy in Patients With Gastric Cancer,PHASE3,Gastric Cancer,the double tract reconstruction after total gastrectomy in patients with gastric cancer,,
NCT07181161,Study of AZD0516 as Monotherapy and in Combination in Participants With Metastatic Prostate Cancer,PHASE1,Metastatic Prostate Cancer,the safety and tolerability of AZD0516 as monotherapy and/or in combination with other anti-cancer agents for treatment of metastatic prostate cancer,,
NCT04253561,Ipatasertib + Pertuzumab +Trastuzumab in Advanced HER2+ PI3KCA-mutant Breast Cancer Patients,PHASE1,Metastatic Breast Cancer,"the safety and clinical activity of the combination of ipatasertib, trastuzumab and pertuzumab in patients with unresectable locally advanced or metastatic HER2-positive breast cancer with tumors harboring PIK3CA mutations, candidates to receive maintenance HP after first line treatment for metastatic disease with a taxane plus HP",,
NCT03665961,"The Association Between Microbiota, Endotoxaemia and the Host Obesity/ Insulin Resistance (MiPOOP Study)",,Central Obesity,"of this study are to examine the effects of ethnicity, central obesity and dietary components, on the human gut microbiome",,
NCT00461461,a Multifaceted Program for Improving Quality of Care in ICU,NA,Adverse Event,of the study are to determine whether the introduction of a composite intervention program decreases the predefined AEs,whether the introduction of a composite intervention program decreases the predefined AEs,
NCT01694342,Telomere Parameters in Patients With Nonalcoholic Fatty Liver,,FATTY LIVER,"ed to evaluate mechanisms of telomere homeostasis like telomere shortening, telomerase activity, telomere capture and aneuploidy in patients with NAFLD in order to explain previous findings of telomere shortening in these patients","mechanisms of telomere homeostasis like telomere shortening, telomerase activity, telomere capture and aneuploidy in patients with NAFLD in order to explain previous findings of telomere shortening in these patients",
NCT01903642,Study of the Proteome and Cytokines During Inflammatory Syndromes of Different Etiologies.,NA,Inflammatory Disease,,,
NCT05315570,Big Data for Quality of Life in Head and Neck Cancer,NA,Head and Neck Cancer,"of the present study is to reduce and to anticipate, with the use of the non-invasive Big data for quality of life (BD4QoL) platform, the proportion of HNC survivors experiencing a clinically meaningful reduction in QoL",,
NCT05563870,Endoscopy and Radiology-guided Ablation for Inoperable Cholangiocarcinoma,NA,Perihilar Cholangiocarcinoma,"to assess the feasibility, efficacy, and safety of a personalized radiofrequency ablation protocol coupled with complete biliary drainage for patients presenting with inoperable perihilar cholangiocarcinoma","the feasibility, efficacy, and safety of a personalized radiofrequency ablation protocol coupled with complete biliary drainage for patients presenting with inoperable perihilar cholangiocarcinoma",
NCT06609070,CHG0521 Oral Coating in Patients with Solid Tissue Tumor/Recurrent/Metastatic TSCC,NA,Squamous Cell Carcinoma,,,
NCT06158269,DVRd in the Treatment of Patients With Newly Diagnosed Double-hit Multiple Myeloma,PHASE2,Multiple Myeloma,DVRd in patients with newly diagnosed double-hit multiple myeloma (MM) and the feasibility of minimal residual disease (MRD) guided maintenance therapy,,
